sae_feature_id,count_wrong,count_correct,max_value_wrong,max_value_correct,mean_rank_wrong,mean_rank_correct,mean_value_wrong,mean_value_correct,mean_value_wrong_minus_correct,rank_wrong_minus_correct
3228,2.0,30.0,6.297629833221436,6.264962673187256,18.5,19.2,6.1452178955078125,6.103166103363037,0.04205179214477539,-0.6999999999999993
14759,9.0,100.0,52.73504638671875,52.76580810546875,1.0,1.0,52.475063747829864,52.45533336639404,0.019730381435820732,0.0
4420,9.0,100.0,16.75981330871582,17.003259658813477,4.0,4.0,16.418990029229057,16.400406074523925,0.0185839547051323,0.0
164,9.0,100.0,9.503362655639648,9.594034194946287,10.0,10.0,9.314662085639107,9.312103462219238,0.0025586234198691216,0.0
14154,9.0,100.0,29.069110870361328,29.238433837890625,2.0,2.0,28.93750551011827,28.93915901184082,-0.0016535017225507431,0.0
13092,9.0,100.0,6.659265518188477,6.68839168548584,16.88888888888889,16.89,6.421614434983995,6.423932094573974,-0.00231765958997876,-0.0011111111111112848
4801,9.0,100.0,12.778691291809082,13.072054862976074,6.0,5.98,12.477137989468044,12.479863090515137,-0.0027251010470923376,0.019999999999999574
4735,9.0,100.0,9.001266479492188,8.997739791870117,11.0,11.0,8.572956826951769,8.581094284057617,-0.0081374571058479,0.0
12054,9.0,100.0,19.090606689453125,19.70301818847656,3.0,3.0,18.651477813720703,18.662019309997557,-0.01054149627685419,0.0
2398,8.0,89.0,6.249311923980713,6.227917194366455,18.625,18.808988764044944,6.055646181106567,6.069902779011244,-0.014256597904676482,-0.18398876404494402
10980,9.0,99.0,6.348344802856445,6.499076843261719,18.555555555555557,18.404040404040405,6.110808690388997,6.132928183584502,-0.02211949319550488,0.15151515151515227
9276,9.0,100.0,6.889637470245361,6.999467372894287,16.22222222222222,16.17,6.558825333913167,6.581410903930664,-0.022585570017496615,0.05222222222221973
16012,9.0,100.0,11.75059413909912,11.849271774291992,7.888888888888889,7.82,11.489589903089735,11.516912517547608,-0.027322614457872874,0.068888888888889
12177,9.0,100.0,11.893614768981934,12.090703010559082,7.111111111111111,7.18,11.580247455173069,11.618496685028076,-0.03824922985500656,-0.068888888888889
15477,5.0,35.0,6.173178195953369,6.305748462677002,20.0,19.714285714285715,5.976518726348877,6.023393508366176,-0.046874782017299665,0.2857142857142847
9779,3.0,45.0,6.032278060913086,6.134703636169434,19.333333333333332,19.711111111111112,5.93312422434489,5.983091311984592,-0.04996708763970226,-0.37777777777778
10934,9.0,100.0,7.458565711975098,7.6265764236450195,13.0,13.25,7.262917730543348,7.316069221496582,-0.05315149095323335,-0.25
886,9.0,100.0,13.14200210571289,13.283660888671877,5.0,5.02,12.825675964355469,12.879002590179443,-0.05332662582397418,-0.019999999999999574
7293,9.0,100.0,7.878573417663574,7.949079513549805,12.555555555555555,12.36,7.492020077175564,7.546068382263184,-0.05404830508761993,0.19555555555555593
3926,9.0,100.0,7.115543365478516,7.36311149597168,14.666666666666666,14.85,6.961689101325141,7.033047380447388,-0.07135827912224713,-0.18333333333333357
10886,9.0,100.0,10.9168701171875,11.049110412597656,9.0,9.0,10.56569692823622,10.652450485229492,-0.0867535569932727,0.0
4608,9.0,100.0,7.544414520263672,7.540080070495605,13.88888888888889,13.59,7.103507995605469,7.248740291595459,-0.14523229598998988,0.2988888888888894
4857,0.0,2.0,0.0,5.931544303894043,0.0,20.0,0.0,5.912320137023926,-5.912320137023926,-20.0
